songId,title,artist,album,albumId,cover
"2117911937","Beautiful Things","Benson Boone","Beautiful Things","183334167","109951169264112902.jpg"
"2081585861","Lose Control","Teddy Swims","I've Tried Everything But Therapy (Part 1)","174612478","109951168910626928.jpg"
"2637558926","APT.","ROSÉ / Bruno Mars","APT.","251077657","109951170052324935.jpg"
"2105586334","greedy","Tate McRae","THINK LATER","180416213","109951169137311038.jpg"
"2065100111","What Was I Made For? (From The Motion Picture ""Barbie"")","Billie Eilish","Barbie The Album","169896931","109951168747690471.jpg"
"2058865535","Calm Down","Rema / Selena Gomez","African Heatwave: Afrobeats Party Anthems","168347998","109951168700131574.jpg"
"25657274","Talking to the Moon","Bruno Mars","It's Better If You Don't Understand","2270046","109951163220494718.jpg"
"2411634","A Thousand Years","Christina Perri","A Thousand Years","243354","109951167587259721.jpg"
"29966565","Love Me Like You Do","Ellie Goulding","Love Me Like You Do (From ""Fifty Shades of Grey"")","3090199","6647647303036966.jpg"
"27556211","All of Me","John Legend","Love In The Future","2635125","109951165968631390.jpg"
"16232697","Because of You","Kelly Clarkson","Because Of You","1496741","109951172132026646.jpg"
"1803545978","Someone You Loved","Lewis Capaldi","Dalok Téli Reggelekre","120320549","109951167997105906.jpg"
"460043703","Perfect","Ed Sheeran","÷ (Deluxe)","35150843","109951166151204092.jpg"
"28680438","Thinking out Loud","Ed Sheeran","x (Deluxe Edition)","2840023","109951168544414132.jpg"
"35847388","Hello","Adele","Hello","3377030","109951168981824640.jpg"
"36841427","Love In The Dark","Adele","25","3377045","109951168110232012.jpg"
"16435049","Someone Like You","Adele","Someone Like You","1515348","109951168981902999.jpg"
"402073823","When We Were Young","Adele","When We Were Young","34477270","109951168981826181.jpg"
"25657236","When I Was Your Man","Bruno Mars","Unorthodox Jukebox","2270037","109951166652562200.jpg"
"25657241","It Will Rain","Bruno Mars","It Will Rain","2270042","1771313232352633.jpg"
"1887190390","Easy On Me","Adele","30","135740501","109951166639576807.jpg"
"2117009","Set Fire to the Rain","Adele","21","213252","109951172658442765.jpg"
"36841428","All I Ask","Adele","25","3377045","109951168110232012.jpg"
"1404805139","Before You Go","Lewis Capaldi","Before You Go","83525619","109951164499108360.jpg"
"429528027","Say You Won't Let Go","James Arthur","Back from the Edge","34928439","109951165975670328.jpg"
"25706371","Impossible","James Arthur","Impossible","2285031","109951165967520873.jpg"
"18161816","Let Her Go","Passenger","All The Little Lights","1668243","109951165708489729.jpg"
"28586064","I'm Not the Only One","Sam Smith","In The Lonely Hour","2786650","109951166345379826.jpg"
"504492140","Too Good At Goodbyes","Sam Smith","The Thrill Of It All (Special Edition)","36679143","109951163053555239.jpg"
"1350601781","Arcade","Duncan Laurence","Arcade","75792452","109951163939876598.jpg"
"16435064","Skyfall (Full Length)","Adele","Skyfall (Full Length)","1515354","109951165967325272.jpg"
"17081098","Jar of Hearts","Christina Perri","lovestrong.","1574318","109951168212894447.jpg"
"28208046","Say Something","A Great Big World","Is There Anybody Out There?","2728015","109951165969262879.jpg"
"28531849","Stay With Me","Sam Smith","Stay With Me","2822279","109951166630334850.jpg"
"26608879","Burn","Ellie Goulding","Burn - Single","2532193","4410141139021458.jpg"
"1470274244","Can't Help Falling in Love","Elvis Presley","Suspicious Minds: 60 Greatest Hits of Elvis Presley","93819480","109951165226594436.jpg"
"26867112","My Love","Westlife","Het Beste Uit De Mega Top 100 '01","2566360","109951164034044287.jpg"
"1374446646","I Love You 3000","Stephanie Poetri","I Love You 3000","80044994","109951170496839853.jpg"
"21568021","Right Here Waiting","Richard Marx","Repeat Offender","1987377","109951170708384669.jpg"
"1313096578","Shallow","Lady Gaga / Bradley Cooper","A Star Is Born Soundtrack","73781284","109951169817866663.jpg"
"529569189","All By Myself","Various Artists - Celine Dion Tribute","A Gregorian Chant Tribute To Celine Dion","37233410","109951163104642328.jpg"
"18548880","When You Say Nothing At All","Ronan Keating","10 Years Of Hits","1702437","109951170938411673.jpg"
"2691123316","The Night We Met","Lord Huron","Strange Trails","267995784","109951170686693997.jpg"
"5159010","Hey There Delilah","Plain White T's","2008 Grammy Nominees","506607","2425522650894027.jpg"
"27412429","Make You Feel My Love","Adele","Your Songs: 40 Feel Good Favourites","2608103","6628955604982607.jpg"
"1409093519","Falling","Harry Styles","Fine Line","84048922","109951164544144407.jpg"
"1496239563","Sparks","Coldplay","Downtempo Classics","98455981","109951165477811883.jpg"
"26330723","All I Want","Kodaline","Now That's What I Call Music! 46","2451955","2398034860233084.jpg"
"27200688","Chasing Cars","Snow Patrol","Fast Forward: Indie Trax","2589764","5644892697118422.jpg"
"19558690","How to Save a Life","The Fray","How To Save A Life","1800999","109951165965449516.jpg"
"1649082","What A Wonderful World (Single Version)","Louis Armstrong","All Time Greatest Hits","167383","109951169912228684.jpg"
"29491081","Unchained Melody","The Righteous Brothers","爱的主题曲 with love","3034007","6648746813989568.jpg"
"1295571534","Yesterday","The Beatles","Only #s One / 29","71964138","109951163418887144.jpg"
"5201829","Let It Be","The Beatles","不朽的声音(人生最难忘的歌)","508745","1729531790501591.jpg"
"1811303184","Hey Jude","The Beatles","Solid Gold Hits, Vol. 17","121505131","109951165622968609.jpg"
"21598355","The Sound Of Silence","Simon & Garfunkel","The Graduate","1989891","109951165986563791.jpg"
"27102081","Scarborough Fair (Canticle)","Simon & Garfunkel","The Simon & Garfunkel Collection","2586296","1250144720817664.jpg"
"27691870","hotel california","Eagles","Relax 70s & 80s Dos","2660478","3200678348537898.jpg"
"3986241","Yesterday Once More","Carpenters","Yesterday Once More: Greatest Hits 1969-1983","403181","19000660439857160.jpg"
"5201828","Top Of The World","Carpenters","不朽的声音(人生最难忘的歌)","508745","1729531790501591.jpg"
"1376949250","Moon river","Andy Williams","Una Serata Di Amore","80301201","109951164203322748.jpg"
"5042272","Unforgettable","Nat King Cole","Music From The Motion Picture Watchmen","500725","109951173577869786.jpg"
"501605","Can't Take My Eyes Off You","Frankie Valli","Wild Palms (Original ABC Event Series Soundtrack)","47816","943380976677944.jpg"
"5058719","Stand by Me","Ben E. King","Stand By Me [Original Motion Picture Soundtrack]","501629","109951165612819566.jpg"
"18065802","Nothing's Gonna Change My Love For You","Glenn Medeiros","Glenn Medeiros","1660671","109951167104267321.jpg"
"17261554","Vincent (Starry, Starry Night)","Don McLean","Rearview Mirror: An American Musical Journey","1590835","109951164947651750.jpg"
"560838229","Hallelujah","Leonard Cohen / Adam Hamilton / St. Martin’s Symphony Of Los Angeles","Hallelujah Symphonic Celebration","38786956","109951163297241090.jpg"
"26658200","Total Eclipse Of The Heart","Bonnie Tyler","Total Eclipse Of The Heart","2549155","2093470139310137.jpg"
"567257658","Take My Breath Away (Re-Recorded / Remastered)","Berlin","Melodic Ballads","39330461","109951163315145213.jpg"
"18003388","Careless Whisper","George Michael","Ladies And Gentlemen... The Best Of George Michael","1655463","109951165966096010.jpg"
"26971703","Billie Jean (Original 12' Version)","Michael Jackson","Grand 12-Inches 4","2573790","1330409069658812.jpg"
"27600491","Beat It","Michael Jackson","Running Hits 3","2644122","2543170395431823.jpg"
"21177726","Heal the World","Michael Jackson","The Essential Michael Jackson","1958167","109951165962423568.jpg"
"1871081119","Dancing Queen","ABBA","Dancing Queen","132030754","109951171015103743.jpg"
"1484889","My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion / James Horner","Titanic: Music from the Motion Picture Soundtrack","151601","109951165995444837.jpg"
"405337333","I Don't Want To Miss A Thing (Album Version)","Diane Warren / Aerosmith","Love Songs - 100 Hits: Ballads, sad songs and tear jerkers inc. Beyonce, Michael Jackson and John Legend","34531794","109951163467318994.jpg"
"1299217","Tears in Heaven","Eric Clapton","Rush (Music from the Motion Picture Soundtrack)","133947","109951166158397822.jpg"
"3404727","Truly Madly Deeply","Savage Garden","Truly Madly Completely","345141","109951170298488733.jpg"
"16835293","I Want It That Way","Backstreet Boys","Playlist: The Very Best Of Backstreet Boys","1550464","18344251998298994.jpg"
"20707713","You Raise Me Up","Westlife","You Raise Me Up","1923830","18348650045094640.jpg"
"4874999","Big Big World","Emilia","剧力万钧 高收视主题曲精选","489904","107752139538365.jpg"
"26957482","God Is A Girl","Groove Coverage","Clubland 13","2574569","1991215557937854.jpg"
"1842927464","Waiting For Love","Avicii","Live A Life You Will Remember","127031067","109951168146238319.jpg"
"26546088","Wake Me Up (Radio Edit)","Avicii / Aloe Blacc","Wake Me Up!","2521812","109951163265778044.jpg"
"1826923389","The Nights","Avicii","Spring Break 2021","124253771","109951168222679747.jpg"
"27713921","Hey Brother","Avicii / Dan Tyminski","True","2643040","2535473814614183.jpg"
"28937926","Levels","Avicii","Tomorrowland 2014 : Music Will Unite Us Forever","2952244","8904944673480538.jpg"
"411314681","This Is What You Came For","Calvin Harris / Rihanna","This Is What You Came For","34686251","109951165975353611.jpg"
"16963280","Feel So Close (Radio Edit)","Calvin Harris","Feel So Close","1562953","109951166749138726.jpg"
"28306554","Summer","Calvin Harris","Summer","2771024","109951165969515325.jpg"
"2152133213","One Kiss","Calvin Harris / Dua Lipa / Calvin Harris, Dua Lipa","I Love America","194487938","109951169556380093.jpg"
"2122380396","Miracle","Calvin Harris / Ellie Goulding","The Annual 2024 - Ministry of Sound","184640886","109951169298308998.jpg"
"480426313","There For You","Martin Garrix / Troye Sivan","There For You","35554106","109951165981772293.jpg"
"423227295","In the Name of Love","Martin Garrix / Bebe Rexha","In the Name of Love","34791602","109951167200318373.jpg"
"456175020","Scared to Be Lonely","Martin Garrix / Dua Lipa","Scared to Be Lonely","35158013","109951168595761385.jpg"
"28786054","Animals","Martin Garrix","Gold Skies","2894009","6006632023218951.jpg"
"439076364","Solo Dance","Martin Jensen","Solo Dance","34972068","109951168111022131.jpg"
"17706562","Good Time","Owl City / Carly Rae Jepsen","Good Time","1627908","109951163221157827.jpg"
"515269424","Wolves","Selena Gomez / Marshmello","Wolves","36672203","109951172129229313.jpg"
"1302290019","Happier","Marshmello / Bastille","Happier","72343547","109951168896151700.jpg"
"497218032","Silence","Marshmello / Khalid","Silence","35909473","109951169434616914.jpg"
"1297986663","FRIENDS","Marshmello / Anne-Marie","FRIENDS","72084706","109951170495003003.jpg"
"423228325","Closer","The Chainsmokers / Halsey","Closer","34796273","109951167389372164.jpg"
"461347998","Something Just Like This","The Chainsmokers / Coldplay","Something Just Like This","35196287","109951167280335904.jpg"
"402070862","Don't Let Me Down","The Chainsmokers / Daya","Don't Let Me Down","34477274","109951169034024852.jpg"
"453185808","Paris","The Chainsmokers","Paris","35124156","109951167280373348.jpg"
"21562994","S&M","Rihanna","Loud","1986937","109951171941104745.jpg"
"21562960","We Found Love","Rihanna / Calvin Harris","Talk That Talk","1986934","109951171941127003.jpg"
"18637990","Beauty And A Beat","Justin Bieber / Nicki Minaj","Believe (Deluxe Edition)","1709604","109951173480281688.jpg"
"35847559","Sorry","Justin Bieber","Sorry","3378106","109951167909361041.jpg"
"34228719","What Do You Mean?","Justin Bieber","What Do You Mean?","3275733","19122706230546496.jpg"
"19902364","Clarity","Zedd / Foxes","Clarity","1836644","2539871861609412.jpg"
"1861580070","Stay","Zedd / Alessia Cara","Clean Pop Hits","130446186","109951168226165539.jpg"
"531051690","The Middle","Zedd / Grey / Maren Morris","The Middle","37251528","109951167775914802.jpg"
"19196451","Don't You Worry Child","Swedish House Mafia / John Martin","Don't You Worry Child","1760516","109951166136786340.jpg"
"1319396100","Where Are Ü Now","Skrillex / Diplo / Justin Bieber","Purpose","74010988","109951169008357055.jpg"
"444269135","Alone","Alan Walker","Alone","35023284","109951167461073753.jpg"
"2011072415","On My Way","Alan Walker / Sabrina Carpenter / Farruko","On My Way","157489546","109951168199128839.jpg"
"1398324033","The Spectre","Alan Walker","Sunday Morning Songs Vol.4","82601229","109951164440978740.jpg"
"1331708845","All Falls Down","Alan Walker / Noah Cyrus / Digital Farm Animals / Juliander","New Year's Eve - NYE 2018/2019","74799733","109951165970660548.jpg"
"29771432","Firestone","Kygo / Conrad Sewell","Firestone","3076227","109951165972824110.jpg"
"31066470","Stole the Show","Kygo / Parson James","Stole the Show","3109576","109951165972084508.jpg"
"3406918","Titanium","David Guetta / Sia","Best Of...","345313","18726882045835681.jpg"
"1480204501","Salt","Ava Max","Heaven & Hell","95589461","109951165324860695.jpg"
"29534449","Unity","TheFatRat","Unity","3034131","109951169136663889.jpg"
"18803200","On the Floor","Jennifer Lopez / Pitbull","On the Floor","1723013","109951163165825037.jpg"
"27072480","Give Me Everything","Pitbull / Ne-Yo / Afrojack / Nayer","NRJ Hits 2011 Vol.2","2581848","5691072185474327.jpg"
"28331097","Timber (Jump Smokers Club Mix)","Pitbull Feat. Ke$ha","The Dome Vol.69","2776824","7976956860378686.jpg"
"2076712142","Cold Heart","Elton John / Dua Lipa","Music to chillout","173358478","109951168869542847.jpg"
"1449991947","Rain On Me","Lady Gaga / Ariana Grande","Rain On Me","89791614","109951165007106098.jpg"
"16435051","Rolling in the Deep","Adele","Rolling in the Deep","1515350","109951168981890417.jpg"
"2188235","Halo","Beyoncé","Halo","220716","848822976687785.jpg"
"1907161101","Peaches","Justin Bieber / Daniel Caesar / GIVĒON","Valentine Pop Hits 2022","138071399","109951169811105133.jpg"
"29722263","Uptown Funk","Mark Ronson / Bruno Mars","Uptown Funk","3066178","109951165970627773.jpg"
"2004562490","Kill Bill","SZA","SOS","156059897","109951168121859537.jpg"
"2004563430","Snooze","SZA","SOS","156059897","109951168121859537.jpg"
"1806905006","Good Days","SZA","Good Days","120854589","109951165566218472.jpg"
"2004563422","SOS","SZA","SOS","156059897","109951168121859537.jpg"
"21563184","Diamonds","Rihanna","Diamonds","1986950","3263350514797284.jpg"
"21563094","Umbrella","Rihanna / JAŸ-Z","Good Girl Gone Bad: Reloaded","1986944","109951170439340644.jpg"
"401712020","Love On The Brain","Rihanna","ANTI (Deluxe)","34468010","109951168261482167.jpg"
"485992658","Wild Thoughts","DJ Khaled / Rihanna / Bryson Tiller","Grateful","35630878","109951165982012678.jpg"
"1855285578","Kiss Me More","Doja Cat / SZA","Planet Her","129338347","109951168932382196.jpg"
"1401302504","Say So","Doja Cat","Hot Pink","83017031","109951168930483402.jpg"
"1824927085","Leave The Door Open","Bruno Mars / Anderson .Paak / Silk Sonic","An Evening With Silk Sonic","135905816","109951167091309142.jpg"
"514172235","Best Part","Daniel Caesar / H.E.R.","H.E.R.","36515538","109951165983559757.jpg"
"441116182","Get You","Daniel Caesar / Kali Uchis","Get You","34985570","18674105487785055.jpg"
"417250724","Location","Khalid","Location","34739372","109951165975846770.jpg"
"1356131126","Talk","Khalid","Free Spirit","78290042","109951165985707287.jpg"
"1960701524","Love Lies","Khalid / Normani","Chill sur la plage : Beach ambiance","147504826","109951167613260324.jpg"
"1955153135","Hrs & Hrs","Muni Long","Def Jam: Viral Hits Vol. 2","146368836","109951169907402422.jpg"
"1938344407","About Damn Time","Lizzo","About Damn Time","143528129","109951167295553217.jpg"
"29816628","Earned It","The Weeknd","Earned It (Fifty Shades of Grey)","3081465","109951166131295163.jpg"
