"id","title","artist","apiName","apiArtist","match"
"415126537","Just Like Fire","P!nk","Just Like Fire","P!nk","EXACT"
"3226001","Raise Your Glass","P!nk","Raise Your Glass","P!nk","EXACT"
"35724589","Lemon Tree","Fool's Garden","Lemon Tree","Fool's Garden","EXACT"
"1496764168","Heat Waves","Glass Animals","Heat Waves","Glass Animals","EXACT"
"27759600","Five Hundred Miles","Justin Timberlake / Carey Mulligan / Stark Sands","Five Hundred Miles","Justin Timberlake/Carey Mulligan/Stark Sands","MISMATCH"
"33728982","Gold","Kiiara","Gold","Kiiara","EXACT"
"19292812","Everything Has Changed","Taylor Swift / Ed Sheeran","Everything Has Changed","Taylor Swift/Ed Sheeran","MISMATCH"
"4433364","Summer Vibe","Walk off the Earth","Summer Vibe","Walk off the Earth","EXACT"
"2154850334","BIRDS OF A FEATHER","Billie Eilish","BIRDS OF A FEATHER","Billie Eilish","EXACT"
"2154851107","WILDFLOWER","Billie Eilish","WILDFLOWER","Billie Eilish","EXACT"
"460043708","What Do I Know?","Ed Sheeran","What Do I Know?","Ed Sheeran","EXACT"
"28157586","If I Die Young","The Band Perry","If I Die Young","The Band Perry","EXACT"
"25787219","All Too Well","Taylor Swift","All Too Well","Taylor Swift","EXACT"
"19292982","Fearless","Taylor Swift","Fearless","Taylor Swift","EXACT"
"19292805","I Almost Do","Taylor Swift","I Almost Do","Taylor Swift","EXACT"
"19292984","Love Story","Taylor Swift","Love Story","Taylor Swift","EXACT"
"19292800","Red","Taylor Swift","Red","Taylor Swift","EXACT"
"19292807","Stay Stay Stay","Taylor Swift","Stay Stay Stay","Taylor Swift","EXACT"
