242	Beautiful Things	Benson Boone	Beautiful Things	Benson Boone	Beautiful Things	03:00
243	Havana	Camila Cabello	Havana	Camila Cabello / Young Thug	Havana	03:36
244	Marry You	Bruno Mars	Marry You	Bruno Mars	Doo-Wops & Hooligans	03:50
245	Fight Song	Rachel Platten	Fight Song	Rachel Platten	Fight Song	03:24
246	Hips Don't Lie	Shakira	Hips Don't Lie（难以抗拒）	Shakira / Wyclef Jean	Greatest Hits	03:39
247	Waka Waka	Shakira	Waka Waka (This Time for Africa)（2010年南非世界杯主题曲）	Shakira / Freshlyground	Waka Waka (This Time For Africa)	03:22
248	I Don't Wanna Live Forever	ZAYN	I Don't Wanna Live Forever (Fifty Shades Darker)（电影《五十度黑》主题曲）	ZAYN / Taylor Swift	Fifty Shades Darker (Original Motion Picture Soundtrack)	04:05
249	Señorita	Shawn Mendes	Señorita	Shawn Mendes / Camila Cabello	Señorita	03:10
250	Dance Monkey	Tones and I	Dance Monkey	Tones and I	Dance Monkey	03:29
251	7 Years	Lukas Graham	7 Years	Lukas Graham	Lukas Graham	03:57
252	Summertime Sadness	Lana Del Rey	Summertime Sadness	Lana Del Rey	Born To Die (Deluxe Version)	04:24
253	Young And Beautiful	Lana Del Rey	Young And Beautiful（风华正茂）	Lana Del Rey	Young And Beautiful	03:56
254	Dusk Till Dawn	ZAYN	Dusk Till Dawn	ZAYN / Sia	Dusk Till Dawn	04:25
255	If I Were a Boy	Beyoncé	If I Were a Boy	Beyoncé	I Am... Sasha Fierce (Deluxe Version)	04:09
256	If I Ain't Got You	Alicia Keys	If I Ain't Got You	Alicia Keys	If I Ain't Got You	03:51
257	Just Give Me a Reason	P!nk	Just Give Me a Reason	P!nk / Nate Ruess	The Truth About Love	04:02
258	Paparazzi	Lady Gaga	Paparazzi	Lady Gaga	Paparazzi	03:28
259	Bad Romance	Lady Gaga	Bad Romance	Lady Gaga	The Fame Monster	04:54
260	Last Friday Night	Katy Perry	Last Friday Night (T.G.I.F.)	Katy Perry	Teenage Dream: The Complete Confection	03:50
261	Night Changes	One Direction	Night Changes	One Direction	Four	03:46
262	Story of My Life	One Direction	Story of My Life	One Direction	Story of My Life	
263	Treat You Better	Shawn Mendes	Treat You Better	Shawn Mendes	Treat You Better	
264	Stitches	Shawn Mendes	Stitches	Shawn Mendes	Handwritten (Revisited)	03:26
265	Ghost	Justin Bieber	Ghost	Justin Bieber	Justice (中国豪华特别版)	02:33
266	Grenade	Bruno Mars	Grenade	Bruno Mars	Grenade	03:42
267	24K Magic	Bruno Mars	24K Magic	Bruno Mars	24K Magic	03:45
268	That's What I Like	Bruno Mars	That's What I Like	Bruno Mars	24K Magic	03:26
269	Shivers	Ed Sheeran	Shivers	Ed Sheeran	Shivers	03:27
270	Bad Habits	Ed Sheeran	Bad Habits	Ed Sheeran	Bad Habits	03:50
271	Photograph	Ed Sheeran	Photograph	Ed Sheeran	x (Deluxe Edition)	04:18
272	Training Season	Dua Lipa	Training Season（训练季）	Dua Lipa	Training Season	03:29
273	Houdini	Dua Lipa	Houdini	Dua Lipa	Houdini	03:05
274	Feather	Sabrina Carpenter	Feather	Sabrina Carpenter	emails i can't send fwd:	03:05
275	Unstoppable	Sia	Unstoppable	Sia	This Is Acting	03:37
276	Paris in the Rain	LAUV	Paris in the Rain	LAUV	I met you when I was 18. (the playlist)	03:24
277	I Like Me Better	LAUV	I Like Me Better	LAUV	I Like Me Better	
278	Dancing With Your Ghost	Sasha Alex Sloan	Dancing With Your Ghost	Sasha Alex Sloan	Dancing With Your Ghost	03:17
279	Faded	Alan Walker	Faded	Alan Walker	Faded	03:32
280	Let Me Down Slowly	Alec Benjamin	Let Me Down Slowly	Alec Benjamin / Alessia Cara	Let Me Down Slowly	02:49
281	Cheap Thrills	Sia	Cheap Thrills	Sia	This Is Acting	03:31
282	Chandelier	Sia	Chandelier	Sia	Chandelier	03:36
283	Royals	Lorde	Royals	Lorde	Royals	03:10
284	golden hour	JVKE	golden hour	JVKE	this is what ____ feels like (Vol. 1-4)	03:29
285	drivers license	Olivia Rodrigo	drivers license	Olivia Rodrigo	SOUR	04:02
286	vampire	Olivia Rodrigo	vampire	Olivia Rodrigo	GUTS	03:39
287	Espresso	Sabrina Carpenter	Espresso	Sabrina Carpenter	Espresso	02:55
288	Late Night Talking	Harry Styles	Late Night Talking	Harry Styles	Harry's House	02:58
289	Adore You	Harry Styles	Adore You	Harry Styles	Fine Line	03:27
290	Watermelon Sugar	Harry Styles	Watermelon Sugar	Harry Styles	Fine Line	02:54
291	Save Your Tears	The Weeknd	Save Your Tears	The Weeknd	After Hours	03:35
292	Blinding Lights	The Weeknd	Blinding Lights	The Weeknd	Blinding Lights	03:20
293	Flowers	Miley Cyrus	Flowers	Miley Cyrus	Flowers	03:20
294	Physical	Dua Lipa	Physical	Dua Lipa	Physical	03:13
295	Levitating	Dua Lipa	Levitating	Dua Lipa	Future Nostalgia	03:23
296	Don't Start Now	Dua Lipa	Don't Start Now	Dua Lipa	Don't Start Now	03:03
